dataset,scenario,window,actual_degradation,actual_degraded,semantic_consistency,response_stability,embedding_drift,confidence_proxy,task_compliance,semantic_reliability_score,degradation_alert
gsm8k(gsm8k_fallback),prompt_corruption,1,none,False,0.7137,0.9435,0.7573,1.0,1.0,0.8593,False
gsm8k(gsm8k_fallback),prompt_corruption,2,none,False,0.7137,0.9435,0.7573,1.0,1.0,0.8593,False
gsm8k(gsm8k_fallback),prompt_corruption,3,none,False,0.7137,0.9435,0.7573,1.0,1.0,0.8593,False
gsm8k(gsm8k_fallback),prompt_corruption,4,prompt_corruption,True,0.6377,0.862,0.622,0.5583,0.3333,0.5946,True
gsm8k(gsm8k_fallback),prompt_corruption,5,prompt_corruption,True,0.6377,0.862,0.622,0.5583,0.3333,0.5946,True
gsm8k(gsm8k_fallback),prompt_corruption,6,prompt_corruption,True,0.6377,0.862,0.622,0.5583,0.3333,0.5946,True
gsm8k(gsm8k_fallback),context_truncation,1,none,False,0.7137,0.9435,0.7573,1.0,1.0,0.8593,False
gsm8k(gsm8k_fallback),context_truncation,2,none,False,0.7137,0.9435,0.7573,1.0,1.0,0.8593,False
gsm8k(gsm8k_fallback),context_truncation,3,none,False,0.7137,0.9435,0.7573,1.0,1.0,0.8593,False
gsm8k(gsm8k_fallback),context_truncation,4,context_truncation,True,0.5955,0.8639,0.594,0.0572,0.3333,0.5022,True
gsm8k(gsm8k_fallback),context_truncation,5,context_truncation,True,0.5955,0.8639,0.594,0.0572,0.3333,0.5022,True
gsm8k(gsm8k_fallback),context_truncation,6,context_truncation,True,0.5955,0.8639,0.594,0.0572,0.3333,0.5022,True
gsm8k(gsm8k_fallback),temperature_spike,1,none,False,0.7137,0.9435,0.7573,1.0,1.0,0.8593,False
gsm8k(gsm8k_fallback),temperature_spike,2,none,False,0.7137,0.9435,0.7573,1.0,1.0,0.8593,False
gsm8k(gsm8k_fallback),temperature_spike,3,none,False,0.7137,0.9435,0.7573,1.0,1.0,0.8593,False
gsm8k(gsm8k_fallback),temperature_spike,4,temperature_spike,True,0.5739,0.9417,0.5922,0.0,1.0,0.6328,True
gsm8k(gsm8k_fallback),temperature_spike,5,temperature_spike,True,0.5739,0.9417,0.5922,0.0,1.0,0.6328,True
gsm8k(gsm8k_fallback),temperature_spike,6,temperature_spike,True,0.5739,0.9417,0.5922,0.0,1.0,0.6328,True
